MES,SEM,FECHA,BEB_REF,CAR_PAQ,CAR_PKL,COMP_ENV,COMP_PAQ,LACT_Q,TOR_TOR,VENTA,COSTO,UTIL,DESC,MES_CFD,SEM_CFD,F_CFD,C_CFD
4,14,02/04/2020,12.0,10.0,19.37259,20.0,,,11.0,7652.050109999999,3740.99604,3911.05407,0.0,4,14,02/04/2020,0
4,14,03/04/2020,8.0,10.0,13.695,10.5,,,11.0,5757.305,3688.8320000000003,2068.473,0.0,4,14,03/04/2020,1
4,14,04/04/2020,6.0,33.0,28.96868,36.0,6.0,,16.0,17201.68872,11450.686679999999,5783.002039999999,0.0,4,14,04/04/2020,3
4,14,05/04/2020,19.0,43.0,60.843999999999994,46.0,1.0,1.0,36.0,28357.446,17041.087,11316.358999999999,14.9,4,14,05/04/2020,1
4,15,06/04/2020,5.0,8.0,15.647820000000001,14.0,4.0,,8.0,5818.86878,3111.83552,2729.03326,0.0,4,15,06/04/2020,1
4,15,07/04/2020,5.0,2.0,7.145,27.75,,,17.0,3401.905,1597.4455,1804.4595,3.2,4,15,07/04/2020,3
4,15,08/04/2020,10.0,2.0,50.364090000000004,37.5,,1.0,28.0,13102.42461,5956.26834,7146.15627,0.0,4,15,08/04/2020,1
4,15,09/04/2020,6.0,8.0,21.94249,21.5,,,23.0,8931.12421,3883.6710399999997,5047.453170000001,3.2,4,15,09/04/2020,3
4,15,10/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,15,10/04/2020,1
4,15,11/04/2020,10.0,24.0,44.97965,47.5,,2.0,66.0,20010.62935,11308.8276,8701.80175,0.0,4,15,11/04/2020,2
4,15,12/04/2020,29.0,53.0,43.10794,61.0,1.0,4.0,40.0,27780.862760000004,17588.791569999998,10206.0712,40.6615,4,15,12/04/2020,0
4,16,13/04/2020,4.0,7.0,2.0,9.0,,,3.0,2821.0,1996.757,824.243,0.0,4,16,13/04/2020,0
4,16,14/04/2020,4.0,3.0,13.88313,19.0,,,17.0,4987.67377,2471.43118,2516.24259,0.0,4,16,14/04/2020,0
4,16,15/04/2020,5.0,8.0,21.741139999999998,15.0,,,6.0,8003.02986,3774.864504,4228.165356,0.0,4,16,15/04/2020,3
4,16,16/04/2020,5.0,5.0,17.8583,31.5,,,13.0,6946.2997,3575.6865,3370.6132,0.0,4,16,16/04/2020,1
4,16,17/04/2020,14.0,12.0,10.355310000000001,17.0,4.0,2.0,6.0,6496.68499,4207.59716,2289.08783,1.9,4,16,17/04/2020,2
